"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/01/01","00:00","6.853","-","7.72"
"2022/01/01","01:00","8.702","-","9.73"
"2022/01/01","02:00","9.405","-","10.59"
"2022/01/01","03:00","8.842","-","9.96"
"2022/01/01","04:00","7.279","-","8.41"
"2022/01/01","05:00","5.141","-","6.32"
"2022/01/01","06:00","2.857","-","3.82"
"2022/01/01","07:00","0.903","-","1.76"
"2022/01/01","08:00","0.019","-","0.82"
"2022/01/01","09:00","0.744","-","1.68"
"2022/01/01","10:00","2.754","-","3.68"
"2022/01/01","11:00","5.325","-","6.1"
"2022/01/01","12:00","7.989","-","8.77"
"2022/01/01","13:00","10.223","-","11.2"
"2022/01/01","14:00","11.338","-","12.49"
"2022/01/01","15:00","11.01","-","12.24"
"2022/01/01","16:00","9.419","-","10.57"
"2022/01/01","17:00","6.981","-","8.2"
"2022/01/01","18:00","4.151","-","5.48"
"2022/01/01","19:00","1.369","-","2.6"
"2022/01/01","20:00","-0.691","-","0.29"
"2022/01/01","21:00","-1.236","-","-0.28"
"2022/01/01","22:00","-0.155","-","0.95"
"2022/01/01","23:00","1.929","-","3.02"
"2022/01/02","00:00","4.472","-","5.44"
"2022/01/02","01:00","7.052","-","8.1"
"2022/01/02","02:00","8.97","-","10.28"
"2022/01/02","03:00","9.634","-","11.02"
"2022/01/02","04:00","8.986","-","10.27"
"2022/01/02","05:00","7.327","-","8.7"
"2022/01/02","06:00","5.069","-","6.43"
"2022/01/02","07:00","2.632","-","3.98"
"2022/01/02","08:00","0.587","-","1.69"
"2022/01/02","09:00","-0.221","-","0.67"
"2022/01/02","10:00","0.678","-","1.84"
"2022/01/02","11:00","2.839","-","4.09"
"2022/01/02","12:00","5.551","-","6.53"
"2022/01/02","13:00","8.353","-","9.47"
"2022/01/02","14:00","10.629","-","12.08"
"2022/01/02","15:00","11.656","-","13.09"
"2022/01/02","16:00","11.188","-","12.64"
"2022/01/02","17:00","9.459","-","10.9"
"2022/01/02","18:00","6.876","-","8.25"
"2022/01/02","19:00","3.869","-","5.19"
"2022/01/02","20:00","0.941","-","2.25"
"2022/01/02","21:00","-1.112","-","-0.24"
"2022/01/02","22:00","-1.506","-","-0.59"
"2022/01/02","23:00","-0.266","-","0.58"
"2022/01/03","00:00","1.953","-","2.61"
"2022/01/03","01:00","4.652","-","5.19"
"2022/01/03","02:00","7.335","-","8.2"
"2022/01/03","03:00","9.228","-","10.39"
"2022/01/03","04:00","9.799","-","10.89"
"2022/01/03","05:00","9.06","-","9.89"
"2022/01/03","06:00","7.305","-","8.27"
"2022/01/03","07:00","4.921","-","6.01"
"2022/01/03","08:00","2.361","-","3.15"
"2022/01/03","09:00","0.306","-","0.9"
"2022/01/03","10:00","-0.36","-","0.2"
"2022/01/03","11:00","0.709","-","1.64"
"2022/01/03","12:00","2.98","-","3.52"
"2022/01/03","13:00","5.787","-","6.37"
"2022/01/03","14:00","8.652","-","9.44"
"2022/01/03","15:00","10.872","-","11.97"
"2022/01/03","16:00","11.766","-","12.81"
"2022/01/03","17:00","11.176","-","12.29"
"2022/01/03","18:00","9.343","-","10.65"
"2022/01/03","19:00","6.646","-","7.79"
"2022/01/03","20:00","3.53","-","4.89"
"2022/01/03","21:00","0.574","-","1.8"
"2022/01/03","22:00","-1.356","-","-0.23"
"2022/01/03","23:00","-1.551","-","-0.67"
"2022/01/04","00:00","-0.162","-","0.97"
"2022/01/04","01:00","2.165","-","3.07"
"2022/01/04","02:00","4.95","-","5.66"
"2022/01/04","03:00","7.628","-","8.42"
"2022/01/04","04:00","9.419","-","10.64"
"2022/01/04","05:00","9.879","-","11.05"
"2022/01/04","06:00","9.047","-","10.09"
"2022/01/04","07:00","7.192","-","8.52"
"2022/01/04","08:00","4.714","-","5.89"
"2022/01/04","09:00","2.114","-","3.4"
"2022/01/04","10:00","0.136","-","1.23"
"2022/01/04","11:00","-0.358","-","0.22"
"2022/01/04","12:00","0.853","-","1.96"
"2022/01/04","13:00","3.181","-","4.03"
"2022/01/04","14:00","6.002","-","6.92"
"2022/01/04","15:00","8.818","-","9.58"
"2022/01/04","16:00","10.908","-","11.89"
"2022/01/04","17:00","11.661","-","12.56"
"2022/01/04","18:00","10.968","-","11.95"
"2022/01/04","19:00","9.055","-","10.1"
"2022/01/04","20:00","6.306","-","7.14"
"2022/01/04","21:00","3.193","-","4.04"
"2022/01/04","22:00","0.334","-","1.22"
"2022/01/04","23:00","-1.391","-","-0.94"
"2022/01/05","00:00","-1.366","-","-0.81"
"2022/01/05","01:00","0.153","-","0.49"
"2022/01/05","02:00","2.524","-","2.78"
"2022/01/05","03:00","5.295","-","5.69"
"2022/01/05","04:00","7.879","-","8.37"
"2022/01/05","05:00","9.534","-","10.24"
"2022/01/05","06:00","9.87","-","10.58"
"2022/01/05","07:00","8.932","-","9.54"
"2022/01/05","08:00","7.002","-","7.72"
"2022/01/05","09:00","4.505","-","4.98"
"2022/01/05","10:00","1.951","-","2.65"
"2022/01/05","11:00","0.106","-","0.41"
"2022/01/05","12:00","-0.207","-","-0.25"
"2022/01/05","13:00","1.105","-","1.17"
"2022/01/05","14:00","3.407","-","3.58"
"2022/01/05","15:00","6.134","-","6.32"
"2022/01/05","16:00","8.815","-","9.03"
"2022/01/05","17:00","10.743","-","11.18"
"2022/01/05","18:00","11.354","-","12.08"
"2022/01/05","19:00","10.565","-","11.21"
"2022/01/05","20:00","8.617","-","9.39"
"2022/01/05","21:00","5.915","-","6.73"
"2022/01/05","22:00","2.917","-","3.95"
"2022/01/05","23:00","0.245","-","1.41"
"2022/01/06","00:00","-1.218","-","-0.64"
"2022/01/06","01:00","-0.965","-","-0.45"
"2022/01/06","02:00","0.629","-","1.43"
"2022/01/06","03:00","2.957","-","3.68"
"2022/01/06","04:00","5.636","-","6.68"
"2022/01/06","05:00","8.084","-","8.77"
"2022/01/06","06:00","9.574","-","10.68"
"2022/01/06","07:00","9.761","-","10.84"
"2022/01/06","08:00","8.728","-","9.5"
"2022/01/06","09:00","6.787","-","7.83"
"2022/01/06","10:00","4.344","-","5.2"
"2022/01/06","11:00","1.89","-","2.78"
"2022/01/06","12:00","0.215","-","0.71"
"2022/01/06","13:00","0.077","-","0"
"2022/01/06","14:00","1.416","-","1.73"
"2022/01/06","15:00","3.59","-","3.92"
"2022/01/06","16:00","6.148","-","6.37"
"2022/01/06","17:00","8.659","-","8.82"
"2022/01/06","18:00","10.406","-","10.72"
"2022/01/06","19:00","10.864","-","11.36"
"2022/01/06","20:00","10.005","-","10.49"
"2022/01/06","21:00","8.101","-","8.42"
"2022/01/06","22:00","5.537","-","6.11"
"2022/01/06","23:00","2.728","-","3.45"
"2022/01/07","00:00","0.31","-","0.77"
"2022/01/07","01:00","-0.849","-","-0.48"
"2022/01/07","02:00","-0.404","-","-0.07"
"2022/01/07","03:00","1.182","-","1.72"
"2022/01/07","04:00","3.407","-","4.11"
"2022/01/07","05:00","5.965","-","6.45"
"2022/01/07","06:00","8.243","-","8.89"
"2022/01/07","07:00","9.532","-","10.58"
"2022/01/07","08:00","9.568","-","10.41"
"2022/01/07","09:00","8.486","-","9.46"
"2022/01/07","10:00","6.591","-","7.73"
"2022/01/07","11:00","4.242","-","5.53"
"2022/01/07","12:00","1.925","-","3.35"
