"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/01/01","00:00","6.298","-","6.88"
"2020/01/01","01:00","6.717","-","7.19"
"2020/01/01","02:00","7.366","-","7.98"
"2020/01/01","03:00","7.988","-","8.56"
"2020/01/01","04:00","8.221","-","8.84"
"2020/01/01","05:00","7.817","-","8.34"
"2020/01/01","06:00","6.787","-","7.32"
"2020/01/01","07:00","5.317","-","5.83"
"2020/01/01","08:00","3.688","-","4.14"
"2020/01/01","09:00","2.274","-","2.74"
"2020/01/01","10:00","1.507","-","2.06"
"2020/01/01","11:00","1.717","-","2.31"
"2020/01/01","12:00","2.907","-","3.56"
"2020/01/01","13:00","4.765","-","5.43"
"2020/01/01","14:00","6.926","-","7.8"
"2020/01/01","15:00","9.048","-","9.97"
"2020/01/01","16:00","10.737","-","11.6"
"2020/01/01","17:00","11.669","-","12.47"
"2020/01/01","18:00","11.771","-","12.44"
"2020/01/01","19:00","11.163","-","11.77"
"2020/01/01","20:00","10.022","-","10.61"
"2020/01/01","21:00","8.573","-","9"
"2020/01/01","22:00","7.126","-","7.38"
"2020/01/01","23:00","6.043","-","6.21"
"2020/01/02","00:00","5.548","-","5.71"
"2020/01/02","01:00","5.602","-","5.83"
"2020/01/02","02:00","6.044","-","6.34"
"2020/01/02","03:00","6.718","-","7.05"
"2020/01/02","04:00","7.37","-","7.65"
"2020/01/02","05:00","7.653","-","7.95"
"2020/01/02","06:00","7.37","-","7.66"
"2020/01/02","07:00","6.568","-","6.74"
"2020/01/02","08:00","5.43","-","5.58"
"2020/01/02","09:00","4.201","-","4.24"
"2020/01/02","10:00","3.195","-","3.14"
"2020/01/02","11:00","2.771","-","2.69"
"2020/01/02","12:00","3.175","-","3.13"
"2020/01/02","13:00","4.354","-","4.26"
"2020/01/02","14:00","6.023","-","6.03"
"2020/01/02","15:00","7.892","-","8.09"
"2020/01/02","16:00","9.673","-","9.93"
"2020/01/02","17:00","10.998","-","11.27"
"2020/01/02","18:00","11.583","-","11.79"
"2020/01/02","19:00","11.387","-","11.51"
"2020/01/02","20:00","10.538","-","10.71"
"2020/01/02","21:00","9.215","-","9.47"
"2020/01/02","22:00","7.647","-","7.76"
"2020/01/02","23:00","6.158","-","6.19"
"2020/01/03","00:00","5.099","-","5.06"
"2020/01/03","01:00","4.657","-","4.55"
"2020/01/03","02:00","4.769","-","4.71"
"2020/01/03","03:00","5.288","-","5.29"
"2020/01/03","04:00","6.069","-","6.01"
"2020/01/03","05:00","6.841","-","6.8"
"2020/01/03","06:00","7.275","-","7.29"
"2020/01/03","07:00","7.21","-","7.29"
"2020/01/03","08:00","6.712","-","6.93"
"2020/01/03","09:00","5.934","-","6.31"
"2020/01/03","10:00","5.073","-","5.55"
"2020/01/03","11:00","4.385","-","4.94"
"2020/01/03","12:00","4.17","-","4.74"
"2020/01/03","13:00","4.626","-","5.24"
"2020/01/03","14:00","5.679","-","6.17"
"2020/01/03","15:00","7.093","-","7.63"
"2020/01/03","16:00","8.653","-","9.22"
"2020/01/03","17:00","10.107","-","10.62"
"2020/01/03","18:00","11.102","-","11.62"
"2020/01/03","19:00","11.377","-","11.87"
"2020/01/03","20:00","10.912","-","11.46"
"2020/01/03","21:00","9.831","-","10.49"
"2020/01/03","22:00","8.311","-","8.98"
"2020/01/03","23:00","6.6","-","7.13"
"2020/01/04","00:00","5.044","-","5.5"
"2020/01/04","01:00","4.003","-","4.39"
"2020/01/04","02:00","3.639","-","4.13"
"2020/01/04","03:00","3.874","-","4.55"
"2020/01/04","04:00","4.567","-","5.39"
"2020/01/04","05:00","5.558","-","6.5"
"2020/01/04","06:00","6.55","-","7.67"
"2020/01/04","07:00","7.218","-","8.41"
"2020/01/04","08:00","7.428","-","8.62"
"2020/01/04","09:00","7.242","-","8.37"
"2020/01/04","10:00","6.779","-","7.89"
"2020/01/04","11:00","6.186","-","7.17"
"2020/01/04","12:00","5.68","-","6.53"
"2020/01/04","13:00","5.534","-","6.19"
"2020/01/04","14:00","5.921","-","6.51"
"2020/01/04","15:00","6.779","-","7.22"
"2020/01/04","16:00","7.928","-","8.31"
"2020/01/04","17:00","9.21","-","9.47"
"2020/01/04","18:00","10.382","-","10.54"
"2020/01/04","19:00","11.088","-","11.11"
"2020/01/04","20:00","11.082","-","11.06"
"2020/01/04","21:00","10.352","-","10.35"
"2020/01/04","22:00","9.021","-","9.06"
"2020/01/04","23:00","7.274","-","7.23"
"2020/01/05","00:00","5.396","-","5.24"
"2020/01/05","01:00","3.776","-","3.6"
"2020/01/05","02:00","2.79","-","2.57"
"2020/01/05","03:00","2.578","-","2.35"
"2020/01/05","04:00","3.042","-","2.86"
"2020/01/05","05:00","4.03","-","3.83"
"2020/01/05","06:00","5.337","-","5.12"
"2020/01/05","07:00","6.622","-","6.43"
"2020/01/05","08:00","7.557","-","7.46"
"2020/01/05","09:00","8.028","-","8.04"
"2020/01/05","10:00","8.089","-","8.14"
"2020/01/05","11:00","7.827","-","7.97"
"2020/01/05","12:00","7.358","-","7.59"
"2020/01/05","13:00","6.889","-","7.19"
"2020/01/05","14:00","6.695","-","6.96"
"2020/01/05","15:00","6.949","-","7.2"
"2020/01/05","16:00","7.606","-","7.89"
"2020/01/05","17:00","8.537","-","8.9"
"2020/01/05","18:00","9.608","-","9.93"
"2020/01/05","19:00","10.554","-","10.85"
"2020/01/05","20:00","10.999","-","11.4"
"2020/01/05","21:00","10.714","-","11.25"
"2020/01/05","22:00","9.697","-","10.39"
"2020/01/05","23:00","8.08","-","8.93"
"2020/01/06","00:00","6.08","-","6.75"
"2020/01/06","01:00","4.035","-","4.48"
"2020/01/06","02:00","2.391","-","2.61"
"2020/01/06","03:00","1.541","-","1.55"
"2020/01/06","04:00","1.597","-","1.5"
"2020/01/06","05:00","2.422","-","2.23"
"2020/01/06","06:00","3.819","-","3.46"
"2020/01/06","07:00","5.513","-","5.08"
"2020/01/06","08:00","7.104","-","6.78"
"2020/01/06","09:00","8.268","-","8.04"
"2020/01/06","10:00","8.916","-","8.8"
"2020/01/06","11:00","9.099","-","9.02"
"2020/01/06","12:00","8.889","-","8.89"
"2020/01/06","13:00","8.397","-","8.54"
"2020/01/06","14:00","7.849","-","8.11"
"2020/01/06","15:00","7.544","-","7.83"
"2020/01/06","16:00","7.665","-","8.03"
"2020/01/06","17:00","8.182","-","8.67"
"2020/01/06","18:00","8.983","-","9.57"
"2020/01/06","19:00","9.92","-","10.47"
"2020/01/06","20:00","10.678","-","11.11"
"2020/01/06","21:00","10.865","-","11.21"
"2020/01/06","22:00","10.274","-","10.61"
"2020/01/06","23:00","8.934","-","9.31"
"2020/01/07","00:00","7","-","7.38"
"2020/01/07","01:00","4.74","-","4.98"
"2020/01/07","02:00","2.562","-","2.75"
"2020/01/07","03:00","0.975","-","1.16"
"2020/01/07","04:00","0.378","-","0.54"
"2020/01/07","05:00","0.832","-","1.03"
"2020/01/07","06:00","2.136","-","2.31"
"2020/01/07","07:00","4.013","-","4.16"
"2020/01/07","08:00","6.095","-","6.35"
"2020/01/07","09:00","7.935","-","8.26"
"2020/01/07","10:00","9.228","-","9.63"
"2020/01/07","11:00","9.924","-","10.34"
"2020/01/07","12:00","10.084","-","10.44"
"2020/01/07","13:00","9.782","-","10.18"
"2020/01/07","14:00","9.151","-","9.57"
"2020/01/07","15:00","8.462","-","8.9"
"2020/01/07","16:00","8.051","-","8.53"
"2020/01/07","17:00","8.106","-","8.6"
"2020/01/07","18:00","8.582","-","9.18"
"2020/01/07","19:00","9.351","-","9.95"
"2020/01/07","20:00","10.21","-","10.68"
"2020/01/07","21:00","10.786","-","11.27"
"2020/01/07","22:00","10.691","-","11.22"
"2020/01/07","23:00","9.76","-","10.38"
"2020/01/08","00:00","8.065","-","8.78"
"2020/01/08","01:00","5.805","-","6.5"
"2020/01/08","02:00","3.308","-","3.98"
"2020/01/08","03:00","1.066","-","1.81"
"2020/01/08","04:00","-0.355","-","0.52"
"2020/01/08","05:00","-0.574","-","0.39"
"2020/01/08","06:00","0.391","-","1.43"
"2020/01/08","07:00","2.24","-","3.2"
"2020/01/08","08:00","4.595","-","5.57"
"2020/01/08","09:00","6.996","-","8.01"
"2020/01/08","10:00","8.971","-","9.97"
"2020/01/08","11:00","10.263","-","11.26"
"2020/01/08","12:00","10.872","-","11.73"
"2020/01/08","13:00","10.879","-","11.5"
"2020/01/08","14:00","10.375","-","10.87"
"2020/01/08","15:00","9.543","-","9.96"
"2020/01/08","16:00","8.716","-","8.97"
"2020/01/08","17:00","8.266","-","8.38"
"2020/01/08","18:00","8.356","-","8.51"
"2020/01/08","19:00","8.897","-","9.12"
"2020/01/08","20:00","9.703","-","9.99"
"2020/01/08","21:00","10.502","-","10.8"
"2020/01/08","22:00","10.877","-","11.19"
"2020/01/08","23:00","10.469","-","10.87"
"2020/01/09","00:00","9.177","-","9.69"
"2020/01/09","01:00","7.122","-","7.64"
"2020/01/09","02:00","4.554","-","5.03"
"2020/01/09","03:00","1.876","-","2.24"
"2020/01/09","04:00","-0.336","-","0.04"
"2020/01/09","05:00","-1.474","-","-1.04"
"2020/01/09","06:00","-1.208","-","-0.77"
"2020/01/09","07:00","0.326","-","0.66"
"2020/01/09","08:00","2.711","-","2.97"
"2020/01/09","09:00","5.466","-","5.77"
"2020/01/09","10:00","8.063","-","8.27"
"2020/01/09","11:00","10.041","-","10.2"
"2020/01/09","12:00","11.211","-","11.33"
"2020/01/09","13:00","11.623","-","11.68"
"2020/01/09","14:00","11.382","-","11.35"
"2020/01/09","15:00","10.616","-","10.6"
"2020/01/09","16:00","9.575","-","9.62"
"2020/01/09","17:00","8.666","-","8.58"
"2020/01/09","18:00","8.273","-","8.07"
"2020/01/09","19:00","8.499","-","8.32"
"2020/01/09","20:00","9.177","-","9.01"
"2020/01/09","21:00","10.048","-","9.85"
"2020/01/09","22:00","10.774","-","10.58"
"2020/01/09","23:00","10.924","-","10.83"
"2020/01/10","00:00","10.191","-","10.18"
"2020/01/10","01:00","8.544","-","8.54"
"2020/01/10","02:00","6.154","-","6.14"
"2020/01/10","03:00","3.329","-","3.14"
"2020/01/10","04:00","0.554","-","0.23"
"2020/01/10","05:00","-1.518","-","-1.79"
"2020/01/10","06:00","-2.267","-","-2.53"
"2020/01/10","07:00","-1.46","-","-1.59"
"2020/01/10","08:00","0.629","-","0.45"
"2020/01/10","09:00","3.468","-","3.31"
"2020/01/10","10:00","6.494","-","6.34"
"2020/01/10","11:00","9.147","-","8.92"
"2020/01/10","12:00","11.01","-","10.71"
"2020/01/10","13:00","11.964","-","11.67"
"2020/01/10","14:00","12.103","-","11.85"
"2020/01/10","15:00","11.558","-","11.31"
"2020/01/10","16:00","10.513","-","10.46"
"2020/01/10","17:00","9.303","-","9.38"
"2020/01/10","18:00","8.393","-","8.53"
"2020/01/10","19:00","8.147","-","8.46"
"2020/01/10","20:00","8.575","-","9.09"
"2020/01/10","21:00","9.414","-","10.19"
"2020/01/10","22:00","10.34","-","11.22"
"2020/01/10","23:00","10.971","-","11.98"
"2020/01/11","00:00","10.889","-","11.99"
"2020/01/11","01:00","9.85","-","10.94"
"2020/01/11","02:00","7.889","-","8.95"
"2020/01/11","03:00","5.226","-","6.05"
"2020/01/11","04:00","2.229","-","2.78"
"2020/01/11","05:00","-0.535","-","0"
"2020/01/11","06:00","-2.355","-","-1.79"
"2020/01/11","07:00","-2.647","-","-2.02"
"2020/01/11","08:00","-1.304","-","-0.51"
"2020/01/11","09:00","1.257","-","1.91"
"2020/01/11","10:00","4.415","-","5.15"
"2020/01/11","11:00","7.563","-","8.15"
"2020/01/11","12:00","10.147","-","10.65"
"2020/01/11","13:00","11.803","-","12.28"
"2020/01/11","14:00","12.477","-","12.98"
"2020/01/11","15:00","12.294","-","12.79"
"2020/01/11","16:00","11.423","-","11.97"
"2020/01/11","17:00","10.117","-","10.72"
"2020/01/11","18:00","8.797","-","9.24"
"2020/01/11","19:00","7.963","-","8.17"
"2020/01/11","20:00","7.918","-","7.99"
"2020/01/11","21:00","8.559","-","8.63"
"2020/01/11","22:00","9.543","-","9.56"
"2020/01/11","23:00","10.499","-","10.65"
"2020/01/12","00:00","11.027","-","11.37"
"2020/01/12","01:00","10.734","-","11.16"
"2020/01/12","02:00","9.445","-","9.88"
"2020/01/12","03:00","7.247","-","7.7"
"2020/01/12","04:00","4.407","-","4.72"
"2020/01/12","05:00","1.358","-","1.44"
"2020/01/12","06:00","-1.267","-","-1.22"
"2020/01/12","07:00","-2.739","-","-2.67"
"2020/01/12","08:00","-2.55","-","-2.37"
"2020/01/12","09:00","-0.74","-","-0.43"
"2020/01/12","10:00","2.157","-","2.32"
"2020/01/12","11:00","5.476","-","5.62"
"2020/01/12","12:00","8.607","-","8.54"
"2020/01/12","13:00","11.015","-","10.87"
"2020/01/12","14:00","12.396","-","12.3"
"2020/01/12","15:00","12.742","-","12.88"
"2020/01/12","16:00","12.21","-","12.42"
"2020/01/12","17:00","11.015","-","11.56"
