Date,Time (GMT),Predicted (ft),Verified (ft),Preliminary (ft),Forecast Guidance(ft)
2021/01/01,00:00,10.2,10.52,-,-
2021/01/01,01:00,10.22,10.63,-,-
2021/01/01,02:00,9.42,9.81,-,-
2021/01/01,03:00,7.77,8.13,-,-
2021/01/01,04:00,5.43,5.64,-,-
2021/01/01,05:00,2.73,2.74,-,-
2021/01/01,06:00,0.17,0.17,-,-
2021/01/01,07:00,-1.63,-1.45,-,-
2021/01/01,08:00,-2.06,-1.74,-,-
2021/01/01,09:00,-0.94,-0.47,-,-
2021/01/01,10:00,1.39,1.77,-,-
2021/01/01,11:00,4.35,4.75,-,-
2021/01/01,12:00,7.36,7.69,-,-
2021/01/01,13:00,9.92,10.1,-,-
2021/01/01,14:00,11.64,11.74,-,-
2021/01/01,15:00,12.4,12.69,-,-
2021/01/01,16:00,12.29,12.67,-,-
2021/01/01,17:00,11.5,12.06,-,-
2021/01/01,18:00,10.28,11.07,-,-
2021/01/01,19:00,8.98,9.8,-,-
2021/01/01,20:00,8.05,8.8,-,-
2021/01/01,21:00,7.8,8.57,-,-
2021/01/01,22:00,8.19,9.06,-,-
2021/01/01,23:00,8.91,9.85,-,-
2021/01/02,00:00,9.64,10.61,-,-
2021/01/02,01:00,10.09,11.27,-,-
2021/01/02,02:00,9.91,11.17,-,-
2021/01/02,03:00,8.9,10.22,-,-
2021/01/02,04:00,7.06,8.36,-,-
2021/01/02,05:00,4.63,5.66,-,-
2021/01/02,06:00,1.99,2.72,-,-
2021/01/02,07:00,-0.33,0.31,-,-
2021/01/02,08:00,-1.7,-0.99,-,-
2021/01/02,09:00,-1.64,-0.84,-,-
2021/01/02,10:00,-0.09,0.71,-,-
2021/01/02,11:00,2.51,3.14,-,-
2021/01/02,12:00,5.53,6.08,-,-
2021/01/02,13:00,8.43,8.81,-,-
2021/01/02,14:00,10.75,10.94,-,-
2021/01/02,15:00,12.14,12.29,-,-
2021/01/02,16:00,12.54,12.71,-,-
2021/01/02,17:00,12.07,12.35,-,-
2021/01/02,18:00,10.99,11.49,-,-
2021/01/02,19:00,9.58,10.25,-,-
2021/01/02,20:00,8.26,8.9,-,-
2021/01/02,21:00,7.44,8.14,-,-
2021/01/02,22:00,7.37,8.11,-,-
2021/01/02,23:00,7.9,8.68,-,-
2021/01/03,00:00,8.69,9.55,-,-
2021/01/03,01:00,9.41,10.45,-,-
2021/01/03,02:00,9.78,11.05,-,-
2021/01/03,03:00,9.48,10.91,-,-
2021/01/03,04:00,8.34,9.68,-,-
2021/01/03,05:00,6.45,7.71,-,-
2021/01/03,06:00,4.08,5.17,-,-
2021/01/03,07:00,1.64,2.46,-,-
2021/01/03,08:00,-0.34,0.44,-,-
2021/01/03,09:00,-1.27,-0.33,-,-
2021/01/03,10:00,-0.77,0.35,-,-
2021/01/03,11:00,1.07,2.12,-,-
2021/01/03,12:00,3.77,4.61,-,-
2021/01/03,13:00,6.72,7.53,-,-
2021/01/03,14:00,9.42,10.06,-,-
2021/01/03,15:00,11.43,11.85,-,-
2021/01/03,16:00,12.46,12.8,-,-
2021/01/03,17:00,12.48,12.77,-,-
2021/01/03,18:00,11.67,12.11,-,-
2021/01/03,19:00,10.32,10.96,-,-
2021/01/03,20:00,8.76,9.45,-,-
2021/01/03,21:00,7.4,8.04,-,-
2021/01/03,22:00,6.67,7.29,-,-
2021/01/03,23:00,6.72,7.33,-,-
2021/01/04,00:00,7.35,7.83,-,-
2021/01/04,01:00,8.19,8.59,-,-
2021/01/04,02:00,8.93,9.28,-,-
2021/01/04,03:00,9.29,9.69,-,-
